sut_name	repeat	status	gen_rc	raw_rc	final_rc	cov_rc	mut_rc	line	branch	mutation
HumanEval_0	1	ok	0	0	0	0	0	100.0	100.0	81.82
HumanEval_0	2	ok	0	0	0	0	0	100.0	100.0	81.82
HumanEval_0	3	ok	0	0	0	0	0	100.0	100.0	81.82
HumanEval_0	4	ok	0	0	0	0	0	100.0	100.0	81.82
HumanEval_0	5	ok	0	0	0	0	0	100.0	100.0	81.82
HumanEval_1	1	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_1	2	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_1	3	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_1	4	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_1	5	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_2	1	ok	0	1	0	0	0	100.0	100.0	100.0
HumanEval_2	2	ok	0	1	0	0	0	100.0	100.0	100.0
HumanEval_2	3	ok	0	1	0	0	0	100.0	100.0	100.0
HumanEval_2	4	ok	0	1	0	0	0	100.0	100.0	100.0
HumanEval_2	5	ok	0	1	0	0	0	100.0	100.0	100.0
HumanEval_3	1	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_3	2	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_3	3	ok	0	1	0	0	0	100.0	100.0	100.0
HumanEval_3	4	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_3	5	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_4	1	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_4	2	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_4	3	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_4	4	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_4	5	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_5	1	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_5	2	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_5	3	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_5	4	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_5	5	ok	0	0	0	0	0	100.0	100.0	100.0
HumanEval_6	1	ok	0	0	0	0	0	100.0	100.0	82.61
HumanEval_6	2	ok	0	0	0	0	0	100.0	100.0	82.61
HumanEval_6	3	ok	0	0	0	0	0	100.0	100.0	82.61
