approach,model,sut,rep,rel_path,status,executable,line_pct,branch_pct,mutation_score_pct
GPT-4o,,Java_0,run_0001,main/Java_0/run_0001/1-1/metrics/status.json,ok,True,100.0,100.0,80.0
GPT-4o,,Java_0,run_0001,main/Java_0/run_0001/1-2/metrics/status.json,ok,True,100.0,100.0,80.0
GPT-4o,,Java_0,run_0001,main/Java_0/run_0001/1-3/metrics/status.json,ok,True,100.0,100.0,80.0
GPT-4o,,Java_0,run_0001,main/Java_0/run_0001/1-4/metrics/status.json,ok,True,100.0,100.0,80.0
GPT-4o,,Java_0,run_0001,main/Java_0/run_0001/1-5/metrics/status.json,ok,True,100.0,100.0,80.0
GPT-4o,,Java_1,run_0001,main/Java_1/run_0001/1-1/metrics/status.json,ok,True,100.0,100.0,100.0
GPT-4o,,Java_1,run_0001,main/Java_1/run_0001/1-2/metrics/status.json,ok,True,100.0,100.0,100.0
GPT-4o,,Java_1,run_0001,main/Java_1/run_0001/1-3/metrics/status.json,ok,True,100.0,100.0,100.0
GPT-4o,,Java_1,run_0001,main/Java_1/run_0001/1-4/metrics/status.json,ok,True,100.0,100.0,100.0
GPT-4o,,Java_1,run_0001,main/Java_1/run_0001/1-5/metrics/status.json,ok,True,100.0,100.0,100.0
GPT-4o,,Java_10,run_0001,main/Java_10/run_0001/1-1/metrics/status.json,ok,True,93.3333,87.5,91.6667
GPT-4o,,Java_10,run_0001,main/Java_10/run_0001/1-2/metrics/status.json,ok,True,100.0,100.0,91.6667
GPT-4o,,Java_10,run_0001,main/Java_10/run_0001/1-3/metrics/status.json,ok,True,93.3333,87.5,91.6667
GPT-4o,,Java_10,run_0001,main/Java_10/run_0001/1-4/metrics/status.json,ok,True,93.3333,87.5,91.6667
GPT-4o,,Java_10,run_0001,main/Java_10/run_0001/1-5/metrics/status.json,ok,True,93.3333,87.5,91.6667
GPT-4o,,Java_100,run_0001,main/Java_100/run_0001/1-1/metrics/status.json,ok,True,100.0,100.0,100.0
GPT-4o,,Java_100,run_0001,main/Java_100/run_0001/1-2/metrics/status.json,ok,True,100.0,100.0,100.0
