dataset	language	model	sut_name	run_id	rep_id	repeat	status	note	generation_exit_code	generation_attempts	generation_empty_attempts	generation_final_attempt	pytest_raw_exit_code	pytest_final_exit_code	coverage_exit_code	mutmut_exit_code	sanitized_used	top_level_test_functions	skipped_test_functions	effective_test_functions	run_mutation	line_coverage_pct	branch_coverage_pct	mutation_score_pct	line_pct_penalized	branch_pct_penalized	mutation_pct_penalized	status_path	run_dir
quixbugs_python	python	gpt-4o	001_python_bitcount	run_0001	1-1	1	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	100.0	100.0	77.7778	100.0	100.0	77.7778	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-1/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-1
quixbugs_python	python	gpt-4o	001_python_bitcount	run_0001	1-2	2	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	100.0	100.0	77.7778	100.0	100.0	77.7778	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-2/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-2
quixbugs_python	python	gpt-4o	001_python_bitcount	run_0001	1-3	3	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	100.0	100.0	77.7778	100.0	100.0	77.7778	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-3/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-3
quixbugs_python	python	gpt-4o	001_python_bitcount	run_0001	1-4	4	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	100.0	100.0	77.7778	100.0	100.0	77.7778	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-4/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-4
quixbugs_python	python	gpt-4o	001_python_bitcount	run_0001	1-5	5	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	100.0	100.0	77.7778	100.0	100.0	77.7778	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-5/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/001_python_bitcount/run_0001/1-5
quixbugs_python	python	gpt-4o	002_python_breadth_first_search	run_0001	1-1	1	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	96.55	85.71	71.4286	96.55	85.71	71.4286	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-1/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-1
quixbugs_python	python	gpt-4o	002_python_breadth_first_search	run_0001	1-2	2	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	96.55	85.71	71.4286	96.55	85.71	71.4286	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-2/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-2
quixbugs_python	python	gpt-4o	002_python_breadth_first_search	run_0001	1-3	3	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	96.55	85.71	71.4286	96.55	85.71	71.4286	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-3/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-3
quixbugs_python	python	gpt-4o	002_python_breadth_first_search	run_0001	1-4	4	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	96.55	85.71	71.4286	96.55	85.71	71.4286	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-4/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-4
quixbugs_python	python	gpt-4o	002_python_breadth_first_search	run_0001	1-5	5	ok	ok	0	1	0	1	0	0	0	0	0	5	0	5	1	96.55	85.71	71.4286	96.55	85.71	71.4286	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-5/metrics/status.json	/home/jpaiva/projetos/llm_test_generation_gpt4o/quixbugs_python_gpt4o/out/quixbugs_python_gpt4o_final_20260504_103110/002_python_breadth_first_search/run_0001/1-5
